Coia
"Data";"SO2 µg/m³";"CO mg/m³";"PM25 µg/m³";"PM10 µg/m³";"O3 µg/m³";"NOX µg/m³";"NO2 µg/m³";"NO µg/m³"
"05/06/24";"2.0";"0.10";"18";"28";"70";"10";"8.0";"1.4"
"06/06/24";"2.7";"0.11";"20";"29";"57";"22";"18";"2.2"
"07/06/24";"3.2";"0.11";"20";"35";"51";"24";"20";"3.1"
"08/06/24";"2.8";"0.10";"17";"25";"61";"12";"9.4";"1.4"
"09/06/24";"2.4";"0.10";"9.6";"14";"54";"10";"7.4";"2.0"
"10/06/24";"2.6";"0.10";"13";"22";"59";"11";"8.2";"2.2"
"11/06/24";"2.3";"0.10";"9.3";"18";"60";"9.6";"7.2";"1.5"
"12/06/24";"2.0";"0.10";"10";"20";"64";"10";"7.6";"1.6"
"13/06/24";"2.2";"0.12";"12";"20";"42";"18";"15";"2.3"
"14/06/24";"2.4";"0.10";"7.2";"13";"48";"9.5";"6.7";"1.8"
"15/06/24";"2.3";"0.10";"15";"34";"61";"6.8";"4.8";"1.2"
"16/06/24";"2.6";"0.10";"8.6";"15";"33";"7.1";"4.9";"1.4"
"17/06/24";"3.2";"0.15";"8.3";"8.9";"26";"19";"12";"4.1"
"18/06/24";"3.0";"0.11";"9.7";"15";"44";"14";"9.8";"2.5"
"19/06/24";"2.6";"0.12";"12";"18";"46";"21";"13";"5.0"
"20/06/24";"2.2";"0.10";"15";"21";"70";"11";"8.6";"1.4"
"21/06/24";"2.1";"0.13";"13";"18";"51";"19";"14";"3.2"
"22/06/24";"2.1";"0.10";"9.0";"12";"42";"13";"10";"1.8"
"23/06/24";"2.8";"0.11";"12";"13";"33";"13";"10";"2.0"
"24/06/24";"3.5";"0.17";"25";"28";"39";"29";"19";"6.4"
"25/06/24";"3.3";"0.10";"12";"17";"42";"15";"12";"1.8"
"26/06/24";"3.2";"0.10";"14";"18";"53";"13";"10";"1.8"
"27/06/24";"3.6";"0.13";"20";"30";"45";"29";"20";"5.8"
"28/06/24";"3.1";"0.10";"11";"22";"48";"17";"12";"3.7"
"29/06/24";"2.7";"0.13";"12";"19";"51";"11";"6.6";"2.8"
"30/06/24";"2.8";"0.11";"9.1";"9.1";"45";"15";"9.1";"4.2"
"01/07/24";"3.1";"0.13";"13";"21";"32";"46";"25";"14"
"02/07/24";"3.1";"0.12";"";"23";"42";"30";"19";"7.2"
"03/07/24";"3.7";"0.16";"";"28";"40";"45";"29";"11"
"04/07/24";"3.9";"0.16";"11";"22";"43";"37";"27";"6.6"
"05/07/24";"4.3";"0.29";"19";"43";"34";"86";"38";"31"
"06/07/24";"3.4";"0.31";"25";"127";"36";"139";"46";"61"
"07/07/24";"3.6";"0.37";"29";"103";"34";"131";"48";"56"
"08/07/24";"3.9";"0.29";"31";"62";"30";"130";"53";"54"
"09/07/24";"3.3";"0.32";"17";"18";"21";"122";"46";"51"
"10/07/24";"3.5";"0.24";"17";"30";"14";"142";"52";"60"
"11/07/24";"3.1";"0.13";"8.2";"11";"24";"51";"24";"18"
"12/07/24";"3.1";"0.12";"9.9";"15";"49";"23";"15";"5.1"
"13/07/24";"3.6";"0.12";"13";"19";"53";"11";"8.3";"1.8"
"14/07/24";"3.6";"0.11";"9.7";"14";"50";"8.0";"5.8";"1.5"
"15/07/24";"3.2";"0.12";"11";"17";"50";"11";"7.9";"1.8"
"16/07/24";"3.2";"0.12";"10";"19";"46";"14";"10";"2.6"
"17/07/24";"3.6";"0.14";"14";"19";"45";"25";"16";"5.7"
"18/07/24";"3.3";"0.13";"15";"19";"52";"19";"14";"3.2"
"19/07/24";"3.5";"0.14";"9.7";"14";"29";"26";"16";"6.2"
"20/07/24";"3.2";"0.11";"5.1";"7.7";"26";"10";"7.6";"1.7"
"21/07/24";"3.3";"0.12";"12";"16";"55";"9.9";"7.2";"1.8"
"22/07/24";"";"";"";"";"";"";"";""
"23/07/24";"";"";"";"";"";"";"";""
"24/07/24";"";"";"";"";"";"";"";""
"25/07/24";"2.7";"0.11";"12";"19";"30";"16";"12";"2.5"
"26/07/24";"2.8";"0.12";"7.3";"14";"26";"19";"13";"3.8"
"27/07/24";"2.9";"0.14";"9.6";"15";"28";"24";"18";"3.7"
"28/07/24";"2.9";"0.15";"11";"16";"33";"26";"21";"3.2"
"29/07/24";"3.0";"0.17";"22";"34";"42";"48";"36";"7.6"
"30/07/24";"3.0";"0.14";"22";"30";"77";"31";"23";"5.3"
"31/07/24";"2.5";"0.11";"13";"19";"71";"11";"8.7";"1.5"
Datos en Horario UTC
,Só se ofrecen para a descarga os datos validados
,* Cláusula de responsabilidade no uso dos datos
,Os datos aquí amosados, son sometidos a distintas rutinas de validación sucesivas ao longo do tempo, polo que se poden dar modificacións destes datos. A Consellería non asume responsabilidade algunha sobre as diversas utilizacións ou interpretacións que o usuario poida facer dos datos subministrados.
